Date,Close,Ticker
1/2/2015 16:00:00,80.41,WDAY
1/5/2015 16:00:00,80.01,WDAY
1/6/2015 16:00:00,79.42,WDAY
1/7/2015 16:00:00,79.35,WDAY
1/8/2015 16:00:00,82.78,WDAY
1/9/2015 16:00:00,82.6,WDAY
1/12/2015 16:00:00,83.49,WDAY
1/13/2015 16:00:00,83.85,WDAY
1/14/2015 16:00:00,81.01,WDAY
1/15/2015 16:00:00,78.06,WDAY
1/16/2015 16:00:00,78.4,WDAY
1/20/2015 16:00:00,78.32,WDAY
1/21/2015 16:00:00,80.39,WDAY
1/22/2015 16:00:00,81.4,WDAY
1/23/2015 16:00:00,83.2,WDAY
1/26/2015 16:00:00,82.78,WDAY
1/27/2015 16:00:00,80.63,WDAY
1/28/2015 16:00:00,78.66,WDAY
1/29/2015 16:00:00,79.17,WDAY
1/30/2015 16:00:00,79.46,WDAY
2/2/2015 16:00:00,81.39,WDAY
2/3/2015 16:00:00,84.74,WDAY
2/4/2015 16:00:00,84.92,WDAY
2/5/2015 16:00:00,87.63,WDAY
2/6/2015 16:00:00,86.43,WDAY
2/9/2015 16:00:00,86.09,WDAY
2/10/2015 16:00:00,86.14,WDAY
2/11/2015 16:00:00,88.87,WDAY
2/12/2015 16:00:00,91.17,WDAY
2/13/2015 16:00:00,91.84,WDAY
2/17/2015 16:00:00,90.92,WDAY
2/18/2015 16:00:00,91.3,WDAY
2/19/2015 16:00:00,91.87,WDAY
2/20/2015 16:00:00,92.74,WDAY
2/23/2015 16:00:00,91.99,WDAY
2/24/2015 16:00:00,93.03,WDAY
2/25/2015 16:00:00,93.94,WDAY
2/26/2015 16:00:00,88.65,WDAY
2/27/2015 16:00:00,85.5,WDAY
3/2/2015 16:00:00,88.81,WDAY
3/3/2015 16:00:00,88.12,WDAY
3/4/2015 16:00:00,82.64,WDAY
3/5/2015 16:00:00,84.21,WDAY
3/6/2015 16:00:00,82.61,WDAY
3/9/2015 16:00:00,83.03,WDAY
